,Survived,TicketSuffix,Age Fare,Age TicketSuffix,Fare^2,Fare OrdinalFare,Fare TicketSuffix,Parch TicketSuffix,Pclass TicketSuffix,SibSp TicketSuffix,OrdinalEmbarked TicketSuffix,OrdinalTitle TicketSuffix,OrdinalFare TicketSuffix,HasCabin TicketSuffix,TicketSuffix^2,TicketSuffix Male,TicketSuffix FamilySize,TicketSuffix IsAlone,TicketSuffix OrdinalAge,TicketSuffix Embarked_C,TicketSuffix Embarked_Q,TicketSuffix Embarked_S,TicketSuffix Title_Master.,TicketSuffix Title_Miss.,TicketSuffix Title_Mr.,TicketSuffix Title_Mrs.,TicketSuffix Title_Rare.,TicketSuffix Floor_B,TicketSuffix Floor_C,TicketSuffix Floor_D,TicketSuffix Floor_E,TicketSuffix Floor_F,TicketSuffix Floor_G,TicketSuffix Floor_Missing,TicketSuffix Floor_T,TicketSuffix TicketPrefix_A/4,TicketSuffix TicketPrefix_A/4.,TicketSuffix TicketPrefix_A/5,TicketSuffix TicketPrefix_A4.,TicketSuffix TicketPrefix_C.A.,TicketSuffix TicketPrefix_C.A./SOTON,TicketSuffix TicketPrefix_F.C.C.,TicketSuffix TicketPrefix_Fa,TicketSuffix TicketPrefix_Missing,TicketSuffix TicketPrefix_PC,TicketSuffix TicketPrefix_S.O.C.,TicketSuffix TicketPrefix_SO/C,TicketSuffix TicketPrefix_SOTON/O.Q.,TicketSuffix TicketPrefix_SOTON/O2,TicketSuffix TicketPrefix_SOTON/OQ,TicketSuffix TicketPrefix_STON/O2.
857,1.0,0.03645386782454035,0.04556775146755721,0.04225400077428715,0.002685535098767277,0.038866611545857625,0.024386949454808012,0.0,0.012151289274846783,0.0,0.03645386782454035,0.009113472833298135,0.02734059481603653,0.2883349995919367,0.0013288844793690581,0.03645386782454035,0.0,0.03645386782454035,0.03645412642138204,0.0,0.0,0.03645386782454035,0.0,0.0,0.03645386782454035,0.0,0.0,0.0,0.0,0.0,0.2883349995919367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03645409115796031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
666,0.0,0.0756730124653494,0.010937202634286838,0.0429966952824209,0.0006438556136368785,0.012687155055772734,0.02478755629807832,0.0,0.0504486749768996,0.0,0.0756730124653494,0.01891826531648672,0.037836774637691674,0.0,0.005726404815580926,0.0756730124653494,0.0,0.0756730124653494,0.030269419710153338,0.0,0.0,0.0756730124653494,0.0,0.0,0.0756730124653494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0756730124653494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07567347607356661,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692,1.0,0.0005162322974400876,0.06274122589336215,0.0003871802155827179,0.01216001491192726,0.11027245763075773,0.0007348702619313474,0.0,0.0005162322974400876,0.0,0.0005162322974400876,0.0001290581575879909,0.0005162359594943403,0.0,2.6649578492027103e-07,0.0005162322974400876,0.0,0.0005162322974400876,0.0004129887675954722,0.0,0.0,0.0005162322974400876,0.0,0.0,0.0005162322974400876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005162322974400876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005162354601202465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,1.0,0.11191471236252211,0.00654128849858309,0.06358888893546481,0.00023030458138525344,0.0037939473291781927,0.021924864534301158,0.0,0.11191471236252212,0.027978876566079655,0.11191471236252211,0.02797869613373682,0.027978876566079655,0.0,0.012524902843186062,0.11191471236252211,0.01865266858006955,0.0,0.044766202505727444,0.0,0.0,0.11191471236252211,0.0,0.0,0.11191471236252211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11191471236252211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11191539800431949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,1.0,0.005627609173780042,0.14693225802256937,0.006267207215673795,0.030248102264790955,0.17391981561855152,0.01263488933514223,0.0,0.0018758697245933476,0.0014069122737437104,0.011255218347560084,0.0014069032007390414,0.0056276490949748416,0.04451205827144373,3.16699850128133e-05,0.005627609173780042,0.0009379457499444047,0.0,0.005627649094974841,0.04997194035320796,0.0,0.0,0.0,0.0,0.005627609173780042,0.0,0.0,0.0,0.15336151068073778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005627643651142199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
728,0.0,0.07637174787356468,0.021874405268573677,0.043393710181805635,0.002575422454547514,0.038061465167318204,0.05003287006356361,0.0,0.050914498582376455,0.019093072410073856,0.07637174787356468,0.019092949281192012,0.05727921723022157,0.0,0.005832643873263332,0.07637174787356468,0.012728772400824047,0.0,0.03054891585611817,0.0,0.0,0.07637174787356468,0.0,0.0,0.07637174787356468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07637174787356468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07637221576256135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,1.0,0.07365064583852601,0.025374310111545468,0.04854322243865041,0.002575422454547514,0.038061465167318204,0.04825021419487538,0.0,0.04910043055901735,0.018412792075568434,0.07365064583852601,0.055238020001193044,0.0552383762267053,0.0,0.00542441763243199,0.0,0.012275250130510586,0.0,0.04419070098136423,0.0,0.0,0.07365064583852601,0.0,0.0,0.0,0.07365069333492406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07365064583852601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07365109705678075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820,1.0,0.004110834203662509,0.16362055140893111,0.004858333798196803,0.03330619371785208,0.18249984580226933,0.009684805660241524,0.0008221726730285252,0.0013702780678875029,0.0010277158412856566,0.004110834203662509,0.0030831276410167945,0.004110863365142626,0.03251499632743002,1.6898957850001572e-05,0.0,0.0013702939742211901,0.0,0.0041108633651426255,0.0,0.0,0.004110834203662509,0.0,0.0,0.0,0.00411083685468906,0.0,0.11206926863572433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004110859388552793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.0,0.0008631816741081289,0.0051089591721831225,0.00041197944806112947,0.00019910504376572914,0.0035276146665073936,0.00015723230802250717,0.0,0.0008631816741081289,0.0,0.0017263633482162578,0.00021579555769085052,0.0002157969493389052,0.0,7.450826025161121e-07,0.0008631816741081289,0.0,0.0008631816741081289,0.00034527511894224833,0.007664864741049546,0.0,0.0,0.0,0.0,0.0008631816741081289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008631816741081289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008631869623622109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,0.0,0.1015984499488443,0.011077703621973448,0.08774547392754972,0.0002858829646759405,0.008454036974663947,0.022175818983822263,0.0,0.10159844994884432,0.0,0.1015984499488443,0.0253996288671096,0.05079958533451349,0.0,0.010322245032007824,0.1015984499488443,0.0,0.1015984499488443,0.08127933653522157,0.0,0.0,0.1015984499488443,0.0,0.0,0.1015984499488443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015984499488443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10159907238839996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
